12,12
37,12
62,12
87,12
112,12
137,12
162,12
187,12
212,12
237,12
12,37
12,62
12,87
12,112
12,137
12,162
12,187
37,37
37,62
37,87
37,112
37,137
37,162
37,187
62,37
62,62
62,87
62,112
62,137
62,162
62,187
87,37
87,62
87,87
87,112
87,137
87,162
87,187
112,37
112,62
112,87
112,112
112,137
112,162
112,187
137,37
137,62
137,87
137,112
137,137
137,162
137,187
162,37
162,62
162,87
162,112
162,137
162,162
162,187
187,37
187,62
187,87
187,112
187,137
187,162
187,187
212,37
212,62
212,87
212,112
212,137
212,162
212,187
237,37
237,62
237,87
237,112
237,137
237,162
237,187
